neighborhood,project,developer,type,tif_npv_usd,cost_usd,tif_pct_of_cost,net_public_gain_usd,assessed_value_usd,actual_rebate_paid_usd,status,action_date,urban_renewal_area,is_batch_row,source_url
Historic East Village,303 Scott Avenue craft brewery,"ONESPEED DSM, L.L.C.",Other,670195,5400000,12.4,647986,2150000,,completed,2022-09-12,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2022/22-405.pdf
Historic East Village,Foundry Lofts,"Market District Apartments, LP",Residential,625000,15000000,4.2,2116916,163000,,approved,2026-03-09,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2026/26-092.pdf
Historic East Village,Newbury Commons,"Newbury Management Company and Newbury Commons Associates, L.P.",Residential,560000,13830000,4.0,,0,,approved,2025-02-10,Metro Center Urban Renewal Area,False,https://councildocs.dsm.city/communications/2025/25-061.pdf
Historic East Village,Connolly Lofts,"Connolly Lofts Associates, L.P. (Frank Levy, Managing Member)",Residential,432161,11800000,3.7,3068523,9000000,1984051,completed,2019-11-18,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2019/19-496.pdf
Historic East Village,Scott Avenue Landing townhomes,"Scott Avenue Landing, LLC",Residential,,12856000,,,49300,,approved,2024-06-03,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2024/24-240.pdf
Historic East Village,Market One building,"Market One, L.L.C.",Other,,,,,4930000,1984051,approved,2023-11-06,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2023/23-502.pdf
Historic East Village,148 East Locust Street mixed-use (Phase 3),"101 East Grand Parking, LLC (Paul Hayes, Tim Rypma, Jim Cownie)",Mixed-use,,,,,0,845663,approved,2023-03-06,,False,https://councildocs.dsm.city/communications/2023/23-121.pdf
Historic East Village,418 E. Grand Avenue mixed-use development and parking structure,"Nelson Development 1, LLC",Mixed-use,,35800000,,,4580000,223091,completed,2018-07-23,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2018/18-379.pdf
Historic East Village,440 E. Grand Avenue historic renovation (mixed-use),"RE3, LLC",Mixed-use,,,,,1508000,91861,completed,2018-04-23,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/minutes/as20180423.pdf
Historic East Village,220 SE 6th Street office building and parking structure (PDM Precast / GPS Impact),"220 SE 6th Street Properties, LLC",Parking,,10700000,,,7140000,,completed,2016-08-22,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2016/16-479.pdf
McKinley School/Columbus Park,Union at Rivers Edge 216-unit affordable apartments,"Union at Rivers Edge, LP (The Annex Group)",Residential,2900000,56100000,5.2,15360195,17408900,,completed,2023-01-23,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2023/23-046.pdf
McKinley School/Columbus Park,The Union at River's Edge,"Union at River's Edge, LP (The Annex Group)",Residential,2900000,56100000,5.2,15360195,0,,completed,2022-08-08,Metro Center Urban Renewal Area,False,https://councildocs.dsm.city/communications/2022/22-357.pdf
Easter Lake Area,Exodus distribution & light assembly warehouse,"Exodus Group Investments, LLC",Industrial / warehouse,5724899,25989600,22.0,31530291,56120,,approved,2022-07-18,East Army Post Road Urban Renewal Area,False,https://councildocs.dsm.city/communications/2022/22-350.pdf
Salisbury Oaks,3750 Grand condominiums,"3750 Grand, LLC",Residential,4800000,37400000,12.8,25868159,45700,707243,completed,2020-02-24,38th and Grand Urban Renewal Area - TIF District #1,False,https://councildocs.dsm.city/communications/2020/20-099.pdf
North of Grand,New 56-unit multi-residential apartment building,"3801 Grand Associates, L.P. (owner) and Newbury Management Company d/b/a Newbury Living (Frank Levy, President)",Residential,3300000,33500000,9.9,12580571,17300000,,approved,2021-02-08,DES MOINES 38TH AND GRAND UR,False,https://councildocs.dsm.city/communications/2021/21-059.pdf
North of Grand,"Minimum assessment agreement for commercial tax abatement, 3711 Ingersoll Avenue",INGERSOLL THEATER LLC,Commercial (MAA / abatement),,,,,205000,,approved,2026-03-09,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2026/26-093.pdf
North of Grand,Goldfinch mixed-use redevelopment of 3404-3422 Ingersoll Avenue,"Goldfinch Apartments, LP, Goldfinch Commercial, LLC and VisionBank of Iowa",Mixed-use,,12355000,,,689000,,approved,2025-12-08,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2025/25-443.pdf
North of Grand,Goldfinch Apartments mixed-use redevelopment,"Goldfinch Apartments, LP",Mixed-use,,12355000,,4366989,689000,,approved,2025-05-05,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2025/25-186.pdf
Highland Park/Oak Park,36 on 6th (3614 6th Avenue renovation),"36 on 6th, LLC",Mixed-use,809530,3500000,23.1,958500,241500,,completed,2023-08-07,DES MOINES OAK PARK-HIGHLAND PARK UR,False,https://councildocs.dsm.city/communications/2023/23-356.pdf
Highland Park/Oak Park,413 Euclid Avenue (French Way Cleaners building),Euclid Foresight LLC,TIF district / UR plan,540000,4200000,12.9,1246907,221600,,completed,2022-06-13,DES MOINES OAK PARK-HIGHLAND PARK UR,False,https://councildocs.dsm.city/communications/2022/22-274.pdf
Highland Park/Oak Park,Commercial renovation of 3523 6th Avenue (former Euclid Avenue State Bank),"3523 6th Avenue, LLC (Joe Cordaro, Randy Reichardt)",Mixed-use,347170,1760000,19.7,1249378,1106000,161018,completed,2021-03-08,DES MOINES OAK PARK-HIGHLAND PARK UR,False,https://councildocs.dsm.city/communications/2021/21-119.pdf
Highland Park/Oak Park,Highland Park Flats,Highland Park Flats LLC,Residential,252608,2635000,9.6,794817,89600,,approved,2025-05-19,DES MOINES OAK PARK-HIGHLAND PARK UR,False,https://councildocs.dsm.city/communications/2025/25-194.pdf
Highland Park/Oak Park,Renovation of 3610 6th Avenue into mixed-use residential and commercial (home to Chuck's Restaurant),"FW Rehab, LLC (Abbey Gilroy, Executive Director)",Mixed-use,113915,1240000,9.2,600528,1036000,4221,completed,2021-01-25,DES MOINES OAK PARK-HIGHLAND PARK UR,False,https://councildocs.dsm.city/communications/2021/21-044.pdf
Highland Park/Oak Park,Rehabilitation and redevelopment of 200 Euclid Avenue,Housing For All,Residential,,,,,356000,,approved,2025-01-27,,False,https://councildocs.dsm.city/communications/2025/25-036.pdf
River Bend,Center at Sixth mixed-use / retail incubator,Center at Sixth,Mixed-use,850000,8650000,9.8,,2330000,300000,completed,2023-12-04,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2023/23-545.pdf
River Bend,1601 6th Avenue historic renovation and mixed-use/food hall new construction,Townhall Associates LP,Mixed-use,460000,13100000,3.5,864929,446700,,approved,2025-04-21,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2025/25-163.pdf
River Bend,Urban Dreams WHTC housing project at 1411 7th Street,Urban Dreams,Residential,,1750000,,,24500,,approved,2025-06-09,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2025/25-231.pdf
River Bend,Joppa Experience restaurant,Joppa Experience LLC,Retail / restaurant,,,,,168000,,approved,2024-06-03,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2024/24-241.pdf
River Bend,Sixth Avenue Flats (42-unit multi-family),"Urban Campus Apartments L.L.L.P. (Jack Hatch, Michael Kiernan)",Residential,,9200000,,1044490,776800,164000,approved,2021-06-28,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2021/21-285.pdf
River Bend,Four-unit scattered-site housing rehabilitation,"Indigo Dawn, LLC",Residential,,1060000,,,305400,,approved,2018-07-23,,False,https://councildocs.dsm.city/communications/2018/18-393.pdf
River Bend,1300-1350 Vermont Street high-cube warehouse,"KOK Vermont Street, LLC",Industrial / warehouse,,13900000,,,149000,,completed,2018-05-21,DES MOINES CENTRAL PLACE INDUSTRIAL PARK UR,False,https://councildocs.dsm.city/communications/2018/18-257.pdf
Woodland Heights,Rehabilitation of commercial property and parking at 2700 Ingersoll Avenue,"Ingersoll Properties Group, LLC",Commercial (MAA / abatement),850000,8200000,10.4,,2880000,,approved,2026-06-08,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2026/26-212.pdf
Woodland Heights,Historic renovation of three apartment buildings at 2315 Grand Avenue,"Tree House Partners, LLC (Tim Rypma, Paul Cownie, Jeremy Cortright)",Residential,200000,16900000,1.2,3842906,6450000,,completed,2021-02-22,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2021/21-086.pdf
Woodland Heights,832 24th Street single-family home,Jeffrey Stewart,Other,,,,,375900,,approved,2018-07-09,,False,https://councildocs.dsm.city/communications/2018/18-347.pdf
Sherman Hill,610 16th Street 47-unit apartments,"Hoyt, LLC",Residential,940000,10500000,9.0,4483359,183000,,completed,2023-02-06,DES MOINES METRO CENTER MERGED UR,False,https://councildocs.dsm.city/communications/2023/23-070.pdf
Sherman Hill,Concord Project,"DEV Partners c/o HOM Investments 6, LLC",Residential,,1500000,,,1090000,,approved,2021-06-28,,False,https://councildocs.dsm.city/communications/2021/21-306.pdf
Drake,Forest Avenue Village (50-unit multi-family),Neighborhood Development Corporation (NDC),TIF district / UR plan,731319,7600000,9.6,,5050000,,approved,2016-09-12,DES MOINES FOREST AVENUE UR,False,https://councildocs.dsm.city/communications/2016/16-516.pdf
Drake,"UA Station apartment building, 2211 University Avenue","UA Station, LLC",Residential,200000,5480000,3.6,2438540,257000,,approved,2026-04-06,Carpenter Urban Renewal Area,False,https://councildocs.dsm.city/communications/2026/26-120.pdf
Drake,"DSMBLC Holdings, Inc.","DSMBLC Holdings, Inc.",Residential,,,,,429500,,approved,2017-11-20,,False,https://councildocs.dsm.city/communications/2017/17-784.pdf
Drake,Neighborhood Development Corporation (NDC),Neighborhood Development Corporation (NDC),Residential,,2600000,,,3130000,,approved,2017-11-06,,False,https://councildocs.dsm.city/communications/2017/17-771.pdf
Watrous South,Percy's Landing - 21-unit senior housing (former Percy Hoak Elementary School),"Percy's Landing Senior, LP (J.B. Conlin, Conlin Properties)",Residential,402802,4500000,9.0,554125,532100,,approved,2020-11-23,DES MOINES FLEUR DRIVE COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2020/20-507.pdf
Watrous South,Percy's Landing (senior housing conversion of former Percy Hoak Elementary),"McKinley Manor, LLC (d/b/a Percy's Landing Senior, LP; JB Conlin, Conlin Properties)",Residential,377588,4500000,8.4,717339,532100,,approved,2021-04-05,DES MOINES FLEUR DRIVE COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2021/21-167.pdf
Watrous South,Fleur Drive commercial area (Panera Bread Cafe / former Mezzodi's site),"Raccoon Valley Investment Company, L.C.",Other,,,,,1350000,89543,approved,2016-08-22,DES MOINES FLEUR DRIVE COMMERCIAL UR,False,https://councildocs.dsm.city/communications/2016/16-470.pdf
Merle Hay,Habitat for Humanity townhome project at 6100 Hickman Road,"Greater Des Moines Habitat for Humanity, Inc.",Residential,674000,6200000,10.9,3613879,636000,,approved,2026-06-08,,False,https://councildocs.dsm.city/communications/2026/26-207.pdf
Merle Hay,"Amended and Restated Minimum Assessment Agreement, 4347 Merle Hay Road",,Commercial (MAA / abatement),,,,,12400000,,approved,2026-04-06,,False,https://councildocs.dsm.city/communications/2026/26-127.pdf
Merle Hay,Minimum Assessment Agreements - 4205 and 4241 Merle Hay Road,,Commercial (MAA / abatement),,,,,1744000,,approved,2025-06-09,,False,https://councildocs.dsm.city/communications/2025/25-217.pdf
Cheatom Park,Workforce Housing Tax Credit (WHTC) support resolutions - 4 projects,"JJR Holdings LLC; Kingman Place Townhomes, LLC; Lawmark LP; 615 Euclid LLC",Residential,,93000000,,,13887000,,approved,2026-05-04,DES MOINES METRO CENTER MERGED UR,True,https://councildocs.dsm.city/communications/2026/26-171.pdf
Cheatom Park,Four minimum assessment agreements for commercial tax abatement (Iowa Code 404),,Commercial (MAA / abatement),,,,,1750300,,approved,2025-12-08,,False,https://councildocs.dsm.city/communications/2025/25-447.pdf
South Central DSM,Minimum assessment agreements for commercial tax abatement (2 properties),UTILITY SPECIALISTS LLC; REASONER'S GARAGE INC.,Commercial (MAA / abatement),,,,,56000,,approved,2026-02-09,,False,https://councildocs.dsm.city/communications/2026/26-035.pdf
Martin Luther King Jr. Park,1603 Walker Street housing project (WHTC application),61st Street Construction LLC (VareCo),Residential,,1980000,,,12900,,approved,2025-06-09,,False,https://councildocs.dsm.city/communications/2025/25-231.pdf
Southwestern Hills,Waldinger Corporation headquarters,"Bell Avenue Properties, Inc. (Thomas Koehn, President)",Office,,,,,25200000,40000,approved,2021-08-23,DES MOINES SOUTHWEST GATEWAY UR,False,https://councildocs.dsm.city/communications/2021/21-373.pdf
